characters_count,and_or_count,blank_line,capital_start,end_dot,imperative_start,wrap_to_72,verb_direct_obj,changed_files_count,changes_methods_count,files_to_body_ratio,methods_to_body_ratio,methods_long,methods_complexity,methods_parameters,added_lines,label
81,0,1,1,0,0,0,1,2,1,0,1,1,1,1,20,bad
56,1,0,1,1,0,0,1,3,5,0,0.2,0.35,0.59,0.47,33,neutral
33,1,1,1,0,0,0,1,1,0,0,-1,1,1,1,146,neutral
43,1,0,1,0,0,0,1,5,24,0,0.08,0.88,1,0.25,184,bad
25,1,1,1,1,0,0,1,1,1,0,0,1,-1,1,0,good
65,1,1,1,1,0,0,1,1,1,0,0,-1,1,1,5,neutral
23,1,1,1,1,0,0,1,1,0,0,-1,1,1,1,140,good
89,1,1,1,1,0,0,1,1,1,0,0,-1,1,-1,16,bad
38,1,1,1,1,0,0,1,1,0,0,-1,1,1,1,139,good
54,0,1,1,1,0,0,1,8,2,0,0.5,0.73,0.15,0.17,10,bad
34,1,1,1,1,0,0,1,7,0,0,-1,0.28,0.85,0.83,1108,bad
96,1,1,0,1,0,0,1,1,1,0,0,-1,-1,-1,1,bad
28,1,1,1,1,0,0,1,2,0,0,-1,1,1,1,142,good
27,1,0,1,1,0,0,1,9,5,0,0,0.43,0.43,0.47,527,bad
45,1,0,1,0,0,0,1,7,3,0,0,0.92,0.82,1,167,neutral
76,1,1,1,1,0,0,1,1,1,0,0,1,1,1,8,bad
78,1,1,1,1,0,0,0,14,28,0,0,0.21,0.99,0.46,726,bad
58,1,1,1,0,0,0,1,1,3,0,0,1,1,1,4,good
104,0,1,1,1,0,0,1,1,3,0,0.67,1,1,1,26,bad
142,0,1,1,1,0,0,1,1,1,0,0,1,-1,1,3,bad
106,1,1,1,0,0,0,1,2,12,0,0,0.97,1,0.97,60,bad
72,1,1,1,1,0,0,1,4,8,0,0,0.62,0.84,0.75,286,bad
30,1,1,1,1,0,0,0,1,1,0,0,-1,-1,-1,0,good
64,0,1,1,1,0,0,1,3,14,0,0,0.49,1,0.49,189,bad
103,1,1,1,1,0,0,1,3,2,0,0,1,1,1,35,bad
48,0,1,1,1,0,0,1,3,7,0,0,1,1,1,63,neutral
22,1,1,1,1,0,0,1,4,0,0,-1,1,1,1,118,neutral
45,0,1,1,0,0,0,0,7,2,0,0,0.65,0.93,0.65,267,bad
37,1,1,1,1,1,0,0,1,1,0,0,-1,-1,-1,1,neutral
13,1,0,1,1,0,0,1,11,24,0,0,0.48,0.98,0.44,671,bad
89,0,1,1,0,0,0,1,4,0,0,-1,0.15,1,0.57,398,bad
54,1,0,1,1,0,0,1,5,3,0,0,0.43,0.44,0.44,119,neutral
131,0,1,1,1,0,0,1,6,5,0,0,0.63,1,0.65,145,bad
149,1,1,1,1,0,0,1,6,4,0,0,0.6,0.89,0.76,402,bad
28,1,1,1,1,0,0,1,2,0,0,-1,1,1,1,43,good
22,1,0,1,1,0,0,1,5,3,0,1,0.75,1,1,66,good
57,0,1,1,1,0,0,1,2,0,0,-1,1,1,1,323,neutral
118,1,1,1,1,0,0,1,9,9,0,0,-1,-1,-1,16,bad
43,1,1,1,1,0,0,1,6,8,0,0,1,0.83,1,45,good
47,1,0,1,1,0,0,1,5,3,0,0,0.72,0.72,0.64,310,neutral
69,1,1,1,1,0,0,1,2,1,0,0,-1,-1,-1,76,good
43,1,0,1,1,0,0,1,8,2,0,0,0.46,1,1,102,neutral
34,1,1,1,1,0,0,1,3,5,0,0,-1,-1,-1,4,good
66,1,1,0,0,0,0,1,2,1,0,0,0.08,1,0.38,96,neutral
71,0,1,1,1,0,0,1,2,0,0,-1,1,1,1,224,neutral
